City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
195,Morondava,MG,-20.2833,44.2833,85.5,59,98,16.6,overcast clouds,2022-01-23 20:16:30
196,Bandarbeyla,SO,9.4942,50.8122,75.11,70,1,18.23,clear sky,2022-01-23 20:16:31
197,Horní Planá,CZ,48.7674,14.0326,32.67,99,100,2.3,overcast clouds,2022-01-23 20:16:31
198,Jurm,AF,36.8648,70.8342,17.51,73,56,4.68,broken clouds,2022-01-23 20:16:31
199,Panjāb,AF,34.388,67.0233,-14.22,83,15,5.39,few clouds,2022-01-23 20:16:31
200,Inuvik,CA,68.3499,-133.7218,2.26,82,75,2.3,broken clouds,2022-01-23 20:16:32
201,Tyup,KG,42.7276,78.3648,18.25,74,100,5.26,overcast clouds,2022-01-23 20:16:32
202,Payakumbuh,ID,-0.2202,100.6308,70.25,98,100,2.3,overcast clouds,2022-01-23 20:16:32
203,San Andrés,CO,12.5847,-81.7006,84.22,70,40,11.5,scattered clouds,2022-01-23 20:16:26
204,Karpogory,RU,64.0019,44.4451,11.07,91,100,8.68,overcast clouds,2022-01-23 20:16:33
205,Itaituba,BR,-4.2761,-55.9836,80.76,78,75,0.0,broken clouds,2022-01-23 20:16:33
206,São João da Barra,BR,-21.6403,-41.0511,84.29,77,2,12.24,clear sky,2022-01-23 20:16:33
207,Pisco,PE,-13.7,-76.2167,78.85,65,0,6.91,clear sky,2022-01-23 20:14:38
208,Clyde River,CA,70.4692,-68.5914,-14.22,98,100,10.6,light snow,2022-01-23 20:12:00
209,Los Llanos de Aridane,ES,28.6585,-17.9182,64.15,96,75,1.01,broken clouds,2022-01-23 20:16:34
210,Uyovu,TZ,-3.2833,31.5258,64.51,93,99,1.03,light rain,2022-01-23 20:16:34
211,Lisala,CD,2.15,21.5167,78.58,41,100,0.98,overcast clouds,2022-01-23 20:16:34
212,Wenzhou,CN,27.9994,120.6668,55.72,91,100,2.28,overcast clouds,2022-01-23 20:16:35
213,Guerrero,MX,17.6667,-100.0,81.19,37,75,5.08,broken clouds,2022-01-23 20:16:35
214,Huarmey,PE,-10.0681,-78.1522,76.53,75,51,11.59,broken clouds,2022-01-23 20:16:35
215,Kommunisticheskiy,RU,61.6789,64.4819,1.0,100,97,3.38,overcast clouds,2022-01-23 20:16:36
216,Chimichagua,CO,9.2578,-73.8123,98.01,31,54,5.57,broken clouds,2022-01-23 20:16:36
217,Masuguru,TZ,-11.3667,38.4167,75.42,83,100,2.59,overcast clouds,2022-01-23 20:16:36
218,Doha,QA,25.2867,51.5333,60.78,44,0,4.61,clear sky,2022-01-23 20:11:41
219,Kropotkin,RU,45.4375,40.5756,30.06,98,89,9.33,light snow,2022-01-23 20:12:04
220,Tessaoua,NE,13.7574,7.9874,65.77,14,3,12.06,clear sky,2022-01-23 20:16:37
221,Leh,IN,34.1667,77.5833,8.37,97,100,1.54,overcast clouds,2022-01-23 20:16:37
222,Qaanaaq,GL,77.484,-69.3632,-5.44,74,100,4.41,overcast clouds,2022-01-23 20:16:38
223,Bohdan,UA,48.0412,24.3522,9.88,95,54,5.73,broken clouds,2022-01-23 20:16:38
224,Talnakh,RU,69.4865,88.3972,-2.2,99,100,4.88,overcast clouds,2022-01-23 20:16:38
225,Khovd,MN,48.0056,91.6419,-2.69,74,3,5.68,clear sky,2022-01-23 20:16:39
226,Hamilton,US,39.1834,-84.5333,37.99,71,100,1.01,overcast clouds,2022-01-23 20:15:32
227,Taltal,CL,-25.4,-70.4833,68.36,68,85,6.44,overcast clouds,2022-01-23 20:16:39
228,Rasht,IR,37.2808,49.5832,40.82,65,0,6.91,clear sky,2022-01-23 20:17:39
229,Kirkenes,NO,69.7271,30.0458,39.42,80,100,21.85,overcast clouds,2022-01-23 20:17:40
230,Greater Sudbury,CA,46.49,-80.99,5.05,61,45,5.14,scattered clouds,2022-01-23 20:15:22
231,Viesca,MX,25.35,-102.8,65.35,28,72,0.85,broken clouds,2022-01-23 20:17:40
232,Korla,CN,41.7597,86.1469,24.21,56,100,1.05,overcast clouds,2022-01-23 20:17:41
233,Maghār,IL,32.8898,35.407,46.33,89,100,2.3,overcast clouds,2022-01-23 20:17:41
234,Koumac,NC,-20.5667,164.2833,79.05,73,77,6.71,broken clouds,2022-01-23 20:17:41
235,San Juan,AR,-31.5375,-68.5364,94.48,23,3,12.59,clear sky,2022-01-23 20:13:00
236,Marawi,PH,7.9986,124.2928,67.64,97,100,2.93,overcast clouds,2022-01-23 20:17:42
237,Alenquer,BR,-1.9417,-54.7383,84.54,70,98,4.63,overcast clouds,2022-01-23 20:15:52
238,Whitehorse,CA,60.7161,-135.0538,32.77,74,75,4.61,broken clouds,2022-01-23 20:17:42
239,Cabedelo,BR,-6.9811,-34.8339,83.07,61,41,8.7,scattered clouds,2022-01-23 20:17:43
240,Balakhninskiy,RU,58.0106,114.2769,-24.27,100,81,2.55,broken clouds,2022-01-23 20:17:43
241,Hasaki,JP,35.7333,140.8333,37.8,80,100,9.6,light rain,2022-01-23 20:17:43
242,Kalaīkunda,IN,22.35,87.25,62.53,90,11,5.53,few clouds,2022-01-23 20:17:44
243,Dingle,PH,10.9995,122.6711,73.94,94,85,6.6,overcast clouds,2022-01-23 20:17:44
244,Sorong,ID,-0.8833,131.25,78.76,85,100,5.68,overcast clouds,2022-01-23 20:17:44
245,Okhotsk,RU,59.3833,143.3,-13.34,81,5,13.6,clear sky,2022-01-23 20:17:45
246,Laas,IT,46.6166,10.7002,38.28,63,4,6.02,clear sky,2022-01-23 20:17:45
247,Zyryanka,RU,65.75,150.85,-27.11,98,100,3.89,overcast clouds,2022-01-23 20:17:45
248,Vila do Maio,CV,15.1333,-23.2167,75.99,76,100,18.43,overcast clouds,2022-01-23 20:17:46
249,San Patricio,US,28.017,-97.5169,59.09,42,100,3.76,overcast clouds,2022-01-23 20:17:46
250,Santa Maria da Vitória,BR,-13.3947,-44.1886,80.51,73,95,4.5,overcast clouds,2022-01-23 20:17:46
251,Houlton,US,46.1262,-67.8403,25.21,52,100,8.05,overcast clouds,2022-01-23 20:17:47
252,Kenora,CA,49.8167,-94.4337,-6.63,77,75,9.22,broken clouds,2022-01-23 20:17:47
253,Caravelas,BR,-17.7125,-39.2481,80.46,66,53,6.96,broken clouds,2022-01-23 20:17:47
254,Forsytheganj,BY,52.6333,29.7333,10.38,97,60,5.01,broken clouds,2022-01-23 20:17:48
255,Kununurra,AU,-15.7667,128.7333,78.78,94,100,0.0,overcast clouds,2022-01-23 20:17:48
256,Pokhara,NP,28.2333,83.9833,50.72,54,91,4.61,overcast clouds,2022-01-23 20:15:02
257,Skegness,GB,53.1436,0.3363,40.57,80,100,9.1,overcast clouds,2022-01-23 20:17:48
258,Hässleholm,SE,56.1591,13.7664,43.45,97,30,6.4,scattered clouds,2022-01-23 20:17:49
