City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
214,Huarmey,PE,76.53,broken clouds,-10.0681,-78.1522,Hotel Miramar
234,Koumac,NC,79.05,broken clouds,-20.5667,164.2833,Le Monitel
237,Alenquer,BR,84.54,overcast clouds,-1.9417,-54.7383,Detinha Hotel
239,Cabedelo,BR,83.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
243,Dingle,PH,73.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
244,Sorong,ID,78.76,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
248,Vila do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
250,Santa Maria da Vitória,BR,80.51,overcast clouds,-13.3947,-44.1886,Pousada Rio Current
253,Caravelas,BR,80.46,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
255,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
260,Dajabón,DO,87.26,clear sky,19.5488,-71.7083,Gran Hotel Raydan
266,Canutama,BR,85.48,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
267,Karratha,AU,82.24,light rain,-20.7377,116.8463,ibis Styles Karratha
269,Loandjili,CG,77.29,clear sky,-4.7561,11.8578,Résidence ARCHANGE
270,Bambous Virieux,MU,80.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
271,Mogadishu,SO,77.94,overcast clouds,2.0371,45.3438,Hotel Juba
272,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
274,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
277,Gushikawa,JP,70.83,broken clouds,26.3544,127.8686,Kirari Guest House
279,Nago,JP,71.67,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
280,Catuday,PH,77.34,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
283,Oussouye,SN,78.98,scattered clouds,12.485,-16.5469,Auberge du Routard
285,Kupang,ID,79.05,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
286,Broken Hill,AU,74.07,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
288,Santa Isabel,BR,82.11,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
289,Basoko,CD,79.34,overcast clouds,1.2391,23.616,Jackyna Hotel
291,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
294,Santa Cruz de la Sierra,BO,87.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
299,Praia,CV,75.74,overcast clouds,14.9215,-23.5087,LT Aparthotel
300,Tubmanburg,LR,76.3,clear sky,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
302,Biri,PH,78.46,broken clouds,12.6833,124.3636,Exequiel and Wyn Lodging House
305,Port Moresby,PG,72.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
307,Bahía Honda,CU,70.92,overcast clouds,22.9036,-83.1592,Casa Gualberto - Deysi
308,Alice Springs,AU,74.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
311,Camalú,MX,70.43,clear sky,30.85,-116.0667,La Cueva del Pirata
314,Jaltenango,MX,82.65,few clouds,15.8719,-92.7247,Finca Jaltenango Hotel Boutique
318,Mocuba,MZ,72.95,moderate rain,-16.8392,36.9856,Phama Lodge
323,Isla Mujeres,MX,77.16,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
324,Chacabuco,AR,81.81,overcast clouds,-34.6417,-60.4739,Club de Pesca Caza y Balneario
339,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
340,Malakal,SS,79.56,clear sky,9.5334,31.6605,Nile Palace Hotel
342,Kralendijk,BQ,84.18,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
345,Acarí,PE,80.29,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
346,Vaitape,PF,81.41,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
347,Ca Mau,VN,72.7,clear sky,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
348,Inongo,CD,77.25,overcast clouds,-1.95,18.2667,Hotel Du Lac
